ObjectId,Route_Number,Route_Name,Ridership_Total,Week_Range,Route_Date
1,FerryDH,Dartmouth to Halifax,1846,2018.05.13 - 2018.05.19,2018/05/16 09:59:59+00
2,FerryHD,Halifax to Dartmouth,1737,2018.05.13 - 2018.05.19,2018/05/16 09:59:59+00
3,FerryHW,Halifax to Woodside,1306,2018.05.13 - 2018.05.19,2018/05/16 09:59:59+00
4,FerryWH,Woodside to Halifax,0,2018.05.13 - 2018.05.19,2018/05/16 09:59:59+00
5,FerryDH,Dartmouth to Halifax,1703,2018.05.13 - 2018.05.19,2018/05/17 09:59:59+00
6,FerryHD,Halifax to Dartmouth,1808,2018.05.13 - 2018.05.19,2018/05/17 09:59:59+00
7,FerryHW,Halifax to Woodside,1132,2018.05.13 - 2018.05.19,2018/05/17 09:59:59+00
8,FerryWH,Woodside to Halifax,1068,2018.05.13 - 2018.05.19,2018/05/17 09:59:59+00
9,FerryDH,Dartmouth to Halifax,2464,2018.05.13 - 2018.05.19,2018/05/18 09:59:59+00
10,FerryHD,Halifax to Dartmouth,2499,2018.05.13 - 2018.05.19,2018/05/18 09:59:59+00
11,FerryHW,Halifax to Woodside,1149,2018.05.13 - 2018.05.19,2018/05/18 09:59:59+00
12,FerryWH,Woodside to Halifax,1104,2018.05.13 - 2018.05.19,2018/05/18 09:59:59+00
13,FerryDH,Dartmouth to Halifax,3170,2018.05.13 - 2018.05.19,2018/05/19 09:59:59+00
14,FerryHD,Halifax to Dartmouth,3222,2018.05.13 - 2018.05.19,2018/05/19 09:59:59+00
15,FerryHW,Halifax to Woodside,0,2018.05.13 - 2018.05.19,2018/05/19 09:59:59+00
16,FerryWH,Woodside to Halifax,0,2018.05.13 - 2018.05.19,2018/05/19 09:59:59+00
17,FerryDH,Dartmouth to Halifax,1156,2018.05.20 - 2018.05.26,2018/05/20 09:59:59+00
18,FerryHD,Halifax to Dartmouth,1154,2018.05.20 - 2018.05.26,2018/05/20 09:59:59+00
19,FerryHW,Halifax to Woodside,0,2018.05.20 - 2018.05.26,2018/05/20 09:59:59+00
20,FerryWH,Woodside to Halifax,0,2018.05.20 - 2018.05.26,2018/05/20 09:59:59+00
21,FerryDH,Dartmouth to Halifax,2004,2018.05.20 - 2018.05.26,2018/05/21 09:59:59+00
22,FerryHD,Halifax to Dartmouth,1997,2018.05.20 - 2018.05.26,2018/05/21 09:59:59+00
23,FerryHW,Halifax to Woodside,0,2018.05.20 - 2018.05.26,2018/05/21 09:59:59+00
24,FerryWH,Woodside to Halifax,0,2018.05.20 - 2018.05.26,2018/05/21 09:59:59+00
25,FerryDH,Dartmouth to Halifax,1707,2018.05.20 - 2018.05.26,2018/05/22 09:59:59+00
26,FerryHD,Halifax to Dartmouth,1796,2018.05.20 - 2018.05.26,2018/05/22 09:59:59+00
27,FerryHW,Halifax to Woodside,1144,2018.05.20 - 2018.05.26,2018/05/22 09:59:59+00
28,FerryWH,Woodside to Halifax,1099,2018.05.20 - 2018.05.26,2018/05/22 09:59:59+00
29,FerryDH,Dartmouth to Halifax,1385,2018.05.20 - 2018.05.26,2018/05/23 09:59:59+00
30,FerryHD,Halifax to Dartmouth,1629,2018.05.20 - 2018.05.26,2018/05/23 09:59:59+00
31,FerryHW,Halifax to Woodside,1154,2018.05.20 - 2018.05.26,2018/05/23 09:59:59+00
32,FerryWH,Woodside to Halifax,1105,2018.05.20 - 2018.05.26,2018/05/23 09:59:59+00
33,FerryDH,Dartmouth to Halifax,1722,2018.05.20 - 2018.05.26,2018/05/24 09:59:59+00
34,FerryHD,Halifax to Dartmouth,1776,2018.05.20 - 2018.05.26,2018/05/24 09:59:59+00
35,FerryHW,Halifax to Woodside,1160,2018.05.20 - 2018.05.26,2018/05/24 09:59:59+00
36,FerryWH,Woodside to Halifax,1151,2018.05.20 - 2018.05.26,2018/05/24 09:59:59+00
37,FerryDH,Dartmouth to Halifax,1553,2018.05.20 - 2018.05.26,2018/05/25 09:59:59+00
38,FerryHD,Halifax to Dartmouth,1970,2018.05.20 - 2018.05.26,2018/05/25 09:59:59+00
39,FerryHW,Halifax to Woodside,1064,2018.05.20 - 2018.05.26,2018/05/25 09:59:59+00
40,FerryWH,Woodside to Halifax,1067,2018.05.20 - 2018.05.26,2018/05/25 09:59:59+00
41,FerryDH,Dartmouth to Halifax,1743,2018.05.20 - 2018.05.26,2018/05/26 09:59:59+00
42,FerryHD,Halifax to Dartmouth,1535,2018.05.20 - 2018.05.26,2018/05/26 09:59:59+00
43,FerryHW,Halifax to Woodside,0,2018.05.20 - 2018.05.26,2018/05/26 09:59:59+00
44,FerryWH,Woodside to Halifax,0,2018.05.20 - 2018.05.26,2018/05/26 09:59:59+00
45,FerryDH,Dartmouth to Halifax,1228,2018.05.27 - 2018.06.02,2018/05/27 09:59:59+00
46,FerryHD,Halifax to Dartmouth,1184,2018.05.27 - 2018.06.02,2018/05/27 09:59:59+00
47,FerryHW,Halifax to Woodside,0,2018.05.27 - 2018.06.02,2018/05/27 09:59:59+00
48,FerryWH,Woodside to Halifax,0,2018.05.27 - 2018.06.02,2018/05/27 09:59:59+00
49,FerryDH,Dartmouth to Halifax,1779,2018.05.27 - 2018.06.02,2018/05/28 09:59:59+00
50,FerryHD,Halifax to Dartmouth,1589,2018.05.27 - 2018.06.02,2018/05/28 09:59:59+00
51,FerryHW,Halifax to Woodside,1092,2018.05.27 - 2018.06.02,2018/05/28 09:59:59+00
52,FerryWH,Woodside to Halifax,1088,2018.05.27 - 2018.06.02,2018/05/28 09:59:59+00
53,FerryDH,Dartmouth to Halifax,1754,2018.05.27 - 2018.06.02,2018/05/29 09:59:59+00
54,FerryHD,Halifax to Dartmouth,1747,2018.05.27 - 2018.06.02,2018/05/29 09:59:59+00
55,FerryHW,Halifax to Woodside,1160,2018.05.27 - 2018.06.02,2018/05/29 09:59:59+00
56,FerryWH,Woodside to Halifax,1099,2018.05.27 - 2018.06.02,2018/05/29 09:59:59+00
57,FerryDH,Dartmouth to Halifax,2439,2017.09.03 - 2017.09.09,2017/09/08 09:59:59+00
58,FerryDH,Dartmouth to Halifax,1153,2019.01.20 - 2019.01.26,2019/01/21 09:59:59+00
59,FerryDH,Dartmouth to Halifax,1700,2018.05.27 - 2018.06.02,2018/05/30 09:59:59+00
60,FerryHD,Halifax to Dartmouth,2000,2018.05.27 - 2018.06.02,2018/05/30 09:59:59+00
61,FerryHW,Halifax to Woodside,1242,2018.05.27 - 2018.06.02,2018/05/30 09:59:59+00
62,FerryWH,Woodside to Halifax,1166,2018.05.27 - 2018.06.02,2018/05/30 09:59:59+00
63,FerryDH,Dartmouth to Halifax,2418,2018.05.27 - 2018.06.02,2018/05/31 09:59:59+00
64,FerryHD,Halifax to Dartmouth,2648,2018.05.27 - 2018.06.02,2018/05/31 09:59:59+00
65,FerryHW,Halifax to Woodside,1232,2018.05.27 - 2018.06.02,2018/05/31 09:59:59+00
66,FerryWH,Woodside to Halifax,1161,2018.05.27 - 2018.06.02,2018/05/31 09:59:59+00
67,FerryDH,Dartmouth to Halifax,3042,2018.05.27 - 2018.06.02,2018/06/01 09:59:59+00
68,FerryDH,Dartmouth to Halifax,0,2017.01.01 - 2017.01.07,2017/01/01 09:59:59+00
